"","x"
"560",22
"561",2
"562",20
"563",15
"564",18
"565",32
"566",28
"567",47
"568",6
"569",13
"570",64
"571",66
"572",11
"573",21
"574",43
"575",108
"576",21
"577",23
"578",4
"579",20
"580",17
"581",3
"582",3
"583",8
"584",10
"585",5
"586",1
"587",21
"588",19
"589",37
"590",81
"591",3
"592",17
"593",18
"594",28
"595",13
"596",29
"597",48
"598",37
"599",1
"600",45
"601",50
"602",23
"603",68
"604",298
"605",26
"606",77
"607",86
"608",3
"609",10
"610",9
"611",19
"612",20
"613",21
"614",37
"615",40
"616",30
"617",21
"618",52
"619",42
"620",51
"621",29
"622",30
"623",93
"624",31
"625",26
"626",18
"627",2
"628",27
"629",22
"630",21
"631",122
"632",25
"633",8
"634",30
"635",70
"636",7
"637",16
"638",20
"639",11
"640",19
"641",48
"642",23
"643",53
"644",44
"645",11
"646",75
"647",234
"648",23
"649",22
"650",43
"651",114
"652",14
"653",49
"654",5
"655",309
"656",9
"657",69
"658",5
"659",30
"660",41
"661",31
"662",34
"663",19
"664",20
"665",20
"666",50
"667",29
"668",20
"669",8
"670",38
"671",13
"672",24
"673",33
"674",14
"675",47
"676",47
"677",138
"678",120
"679",40
"680",55
"681",32
"682",41
"683",92
"684",6
"685",16
"686",4
"687",21
"688",25
"689",19
"690",7
"691",6
"692",7
"693",16
"694",3
"695",20
"696",26
"697",27
"698",9
"699",20
"700",15
"701",84
"702",63
"703",19
"704",17
"705",9
"706",19
"707",36
"708",6
"709",89
"710",12
"711",54
"712",32
"713",2
"714",8
"715",96
"716",4
"717",4
"718",1
"719",55
"720",5
"721",35
"722",19
"723",8
"724",17
"725",8
"726",34
"727",50
"728",127
"729",22
"730",16
"731",26
"732",3
"733",8
"734",27
"735",28
"736",39
"737",20
"738",27
"739",60
"740",0
"741",61
"742",137
"743",10
"744",68
"745",36
"746",22
"747",91
"748",49
"749",20
"750",72
"751",4
"752",47
"753",110
"754",47
"755",17
"756",15
"757",19
"758",26
"759",13
"760",71
"761",29
"762",12
"763",56
"764",33
"765",2
"766",149
"767",25
"768",138
"769",143
"770",19
"771",3
"772",12
"773",22
"774",6
"775",15
"776",1
"777",61
"778",16
"779",29
"780",8
"781",15
"782",27
"783",32
"784",30
"785",35
"786",28
"787",32
"788",66
"789",16
"790",35
"791",38
"792",37
"793",27
"794",47
"795",96
"796",4
"797",30
"798",17
"799",23
"800",9
"801",24
"802",28
"803",97
"804",91
"805",22
"806",1
"807",234
"808",33
"809",9
"810",17
"811",13
"812",59
"813",36
"814",175
"815",50
"816",39
"817",1
"818",139
"819",57
"820",87
"821",41
"822",220
"823",56
"824",10
"825",39
"826",76
"827",44
"828",70
"829",77
"830",24
"831",150
"832",17
"833",29
"834",16
"835",26
"836",35
"837",94
"838",16
"839",23
"840",160
"841",26
"842",8
"843",4
"844",18
"845",69
"846",98
"847",16
"848",23
"849",23
