"","origin_regionMidwest","origin_regionNortheast","origin_regionSouth","origin_regionWest","dest_regionMidwest","dest_regionNortheast","dest_regionSouth","dest_regionWest","UNIQUE_CARRIER","DEP_DEL15","ARR_DELAY_NEW","AIR_TIME","DISTANCE","max_delay","dept_time","arr_time"
"81688",1,0,0,0,0,0,1,0,"NK",1,79,89,594,"carrier",1323,29
"3394",0,0,0,1,0,0,0,1,"AS",1,73,128,954,"security",420,622
"70686",1,0,0,0,0,0,0,1,"AA",0,16,226,1440,"security",306,492
"90685",0,0,0,1,0,0,1,0,"WN",1,36,242,2329,"carrier",866,1301
"33984",0,0,0,1,0,0,0,1,"OO",1,63,43,209,"carrier",667,732
"34206",0,0,0,1,0,0,0,1,"OO",1,107,129,1050,"carrier",1260,1414
"86027",0,0,0,1,0,0,0,1,"OO",1,82,43,262,"carrier",777,853
"18983",0,0,1,0,0,0,1,0,"WN",1,38,68,495,"carrier",1213,1298
"49650",0,1,0,0,0,0,1,0,"AA",1,101,82,529,"carrier",1230,1369
"85849",0,0,0,1,1,0,0,0,"OO",1,96,143,1174,"weather",973,1203
"50315",0,0,1,0,0,0,1,0,"AA",1,97,39,190,"weather",1149,1221
"55420",0,1,0,0,0,0,0,1,"DL",1,67,345,2475,"nas",1021,1247
"68566",0,0,1,0,1,0,0,0,"WN",1,15,97,669,"carrier",931,995
"75035",0,0,1,0,1,0,0,0,"B6",1,139,162,1062,"carrier",586,777
"3643",0,0,0,1,0,0,0,1,"AS",1,44,134,933,"carrier",1125,1294
"78391",0,1,0,0,0,1,0,0,"EV",1,56,57,282,"carrier",1300,1386
"16508",0,0,0,1,0,0,1,0,"WN",1,44,168,1468,"carrier",965,1284
"33917",0,0,0,1,0,0,0,1,"NK",1,59,131,834,"security",917,1064
"43300",1,0,0,0,1,0,0,0,"WN",1,15,59,393,"carrier",1066,1150
"32426",0,0,0,1,0,0,0,1,"HA",1,27,20,100,"carrier",1259,1293
"60734",1,0,0,0,1,0,0,0,"OO",0,17,30,177,"security",423,564
"64195",0,0,1,0,0,0,1,0,"WN",1,37,109,670,"carrier",1022,1152
"87912",0,0,0,1,0,1,0,0,"UA",1,16,217,1969,"weather",778,1144
"85145",0,0,0,1,0,0,0,1,"OO",1,25,65,509,"aircraft",404,558
"21306",0,1,0,0,0,0,1,0,"WN",0,25,98,666,"security",964,1135
"73111",0,0,0,1,0,0,0,1,"AS",1,141,112,867,"security",1142,1285
"34197",1,0,0,0,1,0,0,0,"OO",1,44,66,386,"weather",704,803
"79574",0,0,0,1,0,0,1,0,"F9",1,48,123,1090,"carrier",115,376
"53194",0,0,1,0,0,0,1,0,"B6",1,75,166,1189,"carrier",1073,1205
"53187",0,1,0,0,0,0,1,0,"B6",1,23,235,1609,"carrier",495,692
"78299",0,0,1,0,0,1,0,0,"EV",1,26,85,642,"security",1044,1151
"85386",0,0,0,1,1,0,0,0,"OO",1,19,173,1437,"carrier",784,1047
"59214",0,1,0,0,1,0,0,0,"EV",0,26,135,763,"security",387,521
"7979",0,0,1,0,0,0,1,0,"EV",1,538,69,383,"carrier",1053,1192
"68107",0,0,0,1,0,0,0,1,"WN",0,21,67,507,"security",416,536
"45309",1,0,0,0,0,0,0,1,"WN",0,41,256,1569,"security",820,971
"57112",0,0,1,0,1,0,0,0,"DL",1,458,83,606,"weather",71,153
"29704",0,0,1,0,1,0,0,0,"EV",1,159,88,531,"carrier",1220,1267
"25573",0,1,0,0,0,0,0,1,"DL",1,47,339,2248,"security",960,1172
"68607",0,0,0,1,0,0,0,1,"WN",1,110,55,358,"carrier",1188,1260
"28010",0,0,1,0,0,0,1,0,"DL",0,24,118,377,"security",729,869
"90702",0,0,0,1,0,0,1,0,"WN",1,51,151,1390,"carrier",659,951
"11743",0,0,0,1,0,0,0,1,"OO",0,22,177,1068,"security",1096,1262
"57188",0,0,0,1,0,0,0,1,"DL",1,141,136,834,"security",1054,1236
"68622",0,0,1,0,0,0,1,0,"WN",1,42,46,255,"carrier",1000,1062
"92823",0,0,1,0,0,0,1,0,"WN",1,256,39,189,"security",1430,166
"92508",0,0,1,0,0,1,0,0,"WN",1,18,44,283,"weather",1069,1128
"44925",0,0,1,0,1,0,0,0,"WN",1,62,104,594,"weather",1003,1137
"93798",0,0,0,1,0,0,1,0,"WN",1,46,232,2026,"carrier",917,1351
"13254",1,0,0,0,1,0,0,0,"OO",1,19,34,177,"carrier",617,610
"56148",0,0,0,1,1,0,0,0,"DL",1,53,147,1123,"carrier",1028,1316
"72254",0,0,1,0,0,0,1,0,"AA",0,20,58,328,"security",475,646
"85104",0,0,0,1,0,0,0,1,"OO",1,29,39,209,"carrier",942,1009
"15154",1,0,0,0,0,1,0,0,"UA",1,20,87,678,"weather",870,1035
"62146",0,0,1,0,0,0,1,0,"UA",1,47,124,854,"carrier",1191,1271
"89911",1,0,0,0,0,0,1,0,"WN",1,19,115,786,"carrier",1350,39
"36479",1,0,0,0,1,0,0,0,"OO",1,20,45,257,"weather",814,901
"93667",1,0,0,0,0,1,0,0,"WN",0,15,107,838,"carrier",815,1000
"96652",0,1,0,0,0,0,0,1,"AA",1,23,351,2521,"weather",651,848
"14782",0,0,0,1,0,0,0,1,"UA",1,92,65,447,"carrier",743,840
"47882",0,1,0,0,0,0,1,0,"WN",1,42,67,369,"carrier",1330,1412
"90224",0,0,1,0,0,0,0,1,"WN",0,32,195,1246,"security",1033,1132
"75146",0,0,1,0,0,0,0,1,"DL",1,21,277,1892,"weather",1100,1218
"29080",0,0,1,0,0,0,1,0,"EV",1,58,52,351,"weather",691,774
"45135",0,0,0,1,0,0,1,0,"WN",1,23,212,1788,"weather",635,983
"32528",0,0,0,1,0,0,0,1,"NK",1,28,49,258,"security",515,592
"38218",0,0,0,1,0,0,1,0,"UA",0,26,155,1452,"security",598,939
"64973",0,0,1,0,0,0,1,0,"WN",1,42,127,925,"carrier",1094,1252
"90949",0,0,0,1,0,0,0,1,"WN",1,92,118,957,"security",530,752
"4105",0,0,0,1,0,0,0,1,"AS",1,266,250,2355,"carrier",1241,186
"32538",0,0,1,0,0,0,1,0,"NK",1,98,200,1235,"security",1367,80
"57595",0,0,1,0,0,1,0,0,"DL",1,36,139,1035,"weather",755,931
"46349",0,0,0,1,0,0,0,1,"WN",1,52,60,391,"weather",1084,1182
"51535",0,1,0,0,0,1,0,0,"B6",0,16,52,209,"security",322,430
"68776",0,0,0,1,0,0,0,1,"WN",0,18,136,867,"security",1217,1388
"44153",0,0,1,0,0,0,1,0,"WN",1,22,96,696,"weather",1127,1297
"88128",0,0,1,0,0,1,0,0,"UA",1,88,162,1400,"weather",905,1168
"76316",1,0,0,0,0,0,1,0,"DL",1,84,66,484,"carrier",462,600
"77986",0,0,1,0,0,1,0,0,"EV",0,39,117,718,"security",351,519
"82212",0,0,0,1,0,0,1,0,"OO",1,69,168,1482,"carrier",722,1043
"74268",0,0,1,0,0,1,0,0,"B6",1,69,197,1674,"carrier",779,955
"70998",0,0,0,1,0,0,1,0,"AA",1,32,110,989,"carrier",974,1186
"72159",0,1,0,0,0,0,0,1,"AA",0,24,309,1927,"security",1059,1277
"80148",0,0,0,1,0,0,0,1,"HA",0,27,313,2640,"weather",960,1407
"91698",0,0,0,1,0,0,0,1,"WN",1,30,57,326,"weather",685,760
"79643",0,0,0,1,0,0,0,1,"F9",1,25,72,391,"security",623,709
"68751",0,0,0,1,0,0,0,1,"WN",1,25,126,806,"carrier",670,810
"19657",1,0,0,0,0,0,1,0,"WN",1,50,118,949,"weather",1159,1355
"2232",0,0,1,0,1,0,0,0,"AA",1,78,161,1120,"weather",894,1031
"33461",0,0,1,0,0,0,1,0,"NK",0,18,106,842,"weather",611,745
"80514",1,0,0,0,0,0,1,0,"NK",0,29,87,606,"security",895,1094
"73671",0,0,0,1,0,0,0,1,"B6",1,63,44,231,"carrier",844,917
"76939",1,0,0,0,1,0,0,0,"DL",0,36,27,120,"security",1225,1318
"62555",0,1,0,0,0,0,0,1,"VX",0,19,367,2586,"nas",1131,1368
"82684",0,0,0,1,0,0,0,1,"OO",1,83,34,86,"security",698,766
"33056",0,0,0,1,0,0,0,1,"NK",1,30,78,407,"carrier",1336,1436
"41588",0,0,1,0,0,0,1,0,"WN",1,39,54,255,"weather",1061,1129
"66914",0,0,0,1,0,0,0,1,"WN",0,18,98,628,"weather",912,968
"66689",1,0,0,0,0,0,1,0,"WN",1,19,115,979,"carrier",993,1184
"24155",0,0,1,0,0,0,1,0,"AA",1,321,72,469,"weather",807,899
"1219",0,0,0,1,1,0,0,0,"AA",1,27,185,1723,"carrier",929,1287
"16740",0,0,0,1,0,0,0,1,"WN",1,51,58,342,"carrier",1124,1201
"88386",0,0,0,1,0,0,1,0,"UA",1,169,223,2139,"carrier",110,549
"31241",0,0,0,1,1,0,0,0,"F9",1,15,165,1514,"carrier",1418,292
"5616",0,0,1,0,0,1,0,0,"B6",1,79,138,1010,"carrier",806,965
"60751",1,0,0,0,1,0,0,0,"OO",1,103,30,108,"security",836,964
"79704",0,0,1,0,0,0,0,1,"F9",0,16,92,641,"security",1135,1228
"39328",0,1,0,0,0,0,1,0,"UA",1,51,190,1372,"weather",1227,1410
"74775",0,0,1,0,0,1,0,0,"B6",1,62,143,944,"carrier",642,807
"65772",0,0,0,1,0,0,0,1,"WN",1,59,96,672,"carrier",962,1089
"32762",0,0,0,1,1,0,0,0,"NK",1,74,137,1299,"security",141,413
"53305",0,1,0,0,0,0,1,0,"B6",1,15,95,612,"weather",767,878
"69343",0,0,1,0,0,0,1,0,"AA",0,29,38,192,"security",958,1058
"33822",0,0,1,0,0,0,0,1,"NK",1,21,239,1670,"weather",1106,1252
"10860",1,0,0,0,0,1,0,0,"EV",1,97,68,479,"carrier",1240,1327
"23402",0,0,1,0,0,1,0,0,"AA",1,44,160,1089,"weather",1058,1243
"45593",0,0,0,1,0,0,0,1,"WN",1,25,68,391,"carrier",681,770
"51613",0,1,0,0,0,0,1,0,"B6",0,24,147,937,"security",652,851
"77539",1,0,0,0,0,0,1,0,"DL",1,456,58,432,"weather",144,245
"28756",1,0,0,0,0,0,1,0,"EV",1,66,81,589,"security",1171,1331
"35358",1,0,0,0,1,0,0,0,"OO",1,104,69,489,"nas",488,666
"4112",0,0,0,1,0,0,0,1,"AS",1,82,348,2562,"weather",1195,2
"42027",0,0,1,0,0,0,1,0,"WN",1,100,35,192,"carrier",1113,1180
"65438",1,0,0,0,0,0,0,1,"WN",0,39,287,1756,"security",884,1074
"38800",1,0,0,0,0,0,0,1,"UA",0,15,189,1162,"security",547,698
"40970",1,0,0,0,0,0,1,0,"WN",1,252,62,395,"carrier",1187,1272
"63964",0,0,0,1,0,0,1,0,"VX",1,140,164,1476,"carrier",1205,70
"25646",0,0,1,0,0,1,0,0,"DL",1,18,92,762,"carrier",991,1098
"14306",0,0,0,1,0,0,0,1,"UA",1,177,315,2367,"carrier",734,957
"44064",0,0,0,1,1,0,0,0,"WN",1,25,90,680,"carrier",1026,1190
"92032",0,0,1,0,0,1,0,0,"WN",1,50,138,1073,"carrier",1285,0
"28096",0,0,1,0,0,1,0,0,"DL",1,96,109,762,"security",1231,1365
"2601",0,0,1,0,0,0,1,0,"AA",1,19,83,600,"weather",506,603
"76078",0,0,1,0,1,0,0,0,"DL",1,23,133,957,"carrier",755,913
"56593",0,0,0,1,0,0,0,1,"DL",1,163,108,834,"carrier",1387,90
"27879",0,0,0,1,0,0,0,1,"DL",1,77,41,205,"carrier",877,932
"25664",0,0,1,0,0,0,1,0,"DL",1,48,49,356,"weather",1318,1395
"58508",0,0,1,0,0,0,1,0,"DL",1,242,36,134,"weather",829,948
"35649",1,0,0,0,1,0,0,0,"OO",0,36,40,177,"security",421,583
"58041",0,0,1,0,0,0,1,0,"DL",1,24,89,547,"carrier",690,793
"4344",0,0,0,1,0,0,0,1,"AS",0,23,115,763,"security",998,1150
"43329",0,0,0,1,0,0,1,0,"WN",1,33,160,1468,"carrier",948,1243
"68650",0,0,1,0,0,0,1,0,"WN",1,25,61,319,"weather",958,1030
"91906",0,0,0,1,0,0,0,1,"WN",1,27,60,345,"carrier",1246,1322
"1836",0,0,1,0,0,0,1,0,"AA",1,46,43,190,"weather",931,991
"14240",1,0,0,0,1,0,0,0,"UA",1,35,69,416,"weather",1213,1301
"57262",0,0,1,0,0,1,0,0,"DL",1,60,113,760,"weather",795,927
"77596",0,0,0,1,0,0,1,0,"DL",1,295,124,989,"carrier",97,301
"80913",0,0,1,0,0,0,0,1,"NK",1,31,301,2342,"weather",1292,30
"39241",0,0,1,0,0,1,0,0,"UA",1,28,135,1023,"weather",561,713
"3480",0,0,0,1,0,0,0,1,"AS",1,66,111,867,"nas",900,1041
"57795",0,0,1,0,0,0,0,1,"DL",1,460,318,2116,"weather",1028,1182
"15217",0,0,1,0,0,0,1,0,"UA",1,15,223,2007,"security",649,1006
"2334",0,0,1,0,0,0,1,0,"AA",1,29,41,130,"carrier",905,963
"93151",1,0,0,0,0,1,0,0,"WN",0,28,111,725,"security",1040,1248
"2761",0,1,0,0,0,1,0,0,"AA",1,19,48,184,"carrier",684,762
"10038",0,0,1,0,0,0,1,0,"EV",1,59,32,143,"carrier",765,829
"83199",0,0,0,1,0,0,0,1,"OO",0,21,111,588,"security",1111,1311
"83526",1,0,0,0,0,0,0,1,"OO",0,23,94,483,"security",359,451
"53294",0,1,0,0,0,0,0,1,"B6",0,53,400,2381,"security",511,757
"96148",1,0,0,0,0,0,0,1,"AA",1,253,195,1262,"carrier",1113,1265
"60507",0,0,1,0,0,0,1,0,"EV",1,40,49,304,"weather",783,849
"77950",0,0,1,0,0,0,1,0,"EV",1,69,35,262,"carrier",1237,1294
"89983",0,0,1,0,1,0,0,0,"WN",1,25,113,692,"weather",927,1000
"28988",0,0,1,0,0,0,1,0,"EV",0,18,130,788,"security",604,833
"54447",0,0,1,0,0,0,1,0,"DL",1,69,90,581,"nas",1220,1334
"66903",0,0,1,0,1,0,0,0,"WN",1,86,154,601,"security",980,1101
"97682",0,0,1,0,1,0,0,0,"AA",1,15,151,1145,"weather",1226,1418
"95499",0,0,0,1,1,0,0,0,"WN",1,17,212,1855,"weather",916,1272
"34548",0,0,0,1,0,0,0,1,"OO",1,76,140,845,"weather",1202,1307
"94619",0,0,1,0,0,0,1,0,"WN",0,20,175,1342,"carrier",1031,1280
"54793",0,0,1,0,0,0,0,1,"DL",1,580,300,2139,"weather",421,563
"1337",1,0,0,0,0,0,0,1,"AA",1,73,276,1781,"security",1114,1309
"80131",0,0,0,1,0,0,0,1,"HA",1,196,262,2603,"weather",1027,1431
"11657",0,0,0,1,0,0,0,1,"OO",1,33,38,193,"weather",978,1052
"6986",0,0,0,1,0,1,0,0,"DL",1,40,196,1620,"carrier",680,1019
"19201",0,0,0,1,0,0,0,1,"WN",1,26,121,948,"carrier",1212,1411
"623",0,0,1,0,0,0,1,0,"AA",1,93,145,985,"weather",578,688
"71814",0,0,1,0,0,0,1,0,"AA",1,41,46,257,"security",994,1081
"9960",0,0,1,0,0,0,1,0,"EV",1,68,33,164,"carrier",866,921
"27354",0,0,1,0,0,1,0,0,"DL",1,71,122,746,"security",1044,1200
"7943",0,0,1,0,0,0,1,0,"EV",0,15,67,351,"carrier",866,958
"85014",0,0,0,1,0,0,0,1,"OO",0,18,133,898,"security",338,566
"74522",0,0,1,0,0,1,0,0,"B6",1,354,118,1005,"security",1195,1374
"91364",0,0,0,1,0,0,0,1,"WN",1,36,56,342,"carrier",1135,1206
"23982",0,0,0,1,0,0,1,0,"AA",1,18,165,1464,"carrier",1095,1397
"25495",1,0,0,0,0,0,1,0,"DL",1,25,103,669,"carrier",793,976
"4686",0,0,0,1,0,0,0,1,"AS",1,23,203,1448,"security",730,903
"84810",0,0,0,1,0,0,0,1,"OO",1,44,68,462,"weather",408,506
"50426",0,0,1,0,0,0,0,1,"AA",1,31,94,569,"carrier",1363,1413
"43530",0,0,0,1,0,0,0,1,"WN",1,41,149,1050,"carrier",1203,1371
"59682",1,0,0,0,1,0,0,0,"EV",1,56,44,223,"carrier",1017,1083
"48023",0,0,1,0,0,0,0,1,"WN",0,15,244,1626,"weather",863,1000
"42728",0,0,0,1,0,0,0,1,"WN",1,42,97,853,"carrier",1077,1257
"50466",1,0,0,0,0,0,0,1,"AA",0,41,165,1044,"security",491,643
"73379",0,0,0,1,0,0,0,1,"AS",1,26,95,679,"security",824,943
"4911",0,0,0,1,0,0,0,1,"AS",0,15,147,1107,"security",663,899
"69869",0,0,0,1,0,1,0,0,"AA",1,58,300,2586,"weather",556,1084
"30581",0,0,1,0,0,0,1,0,"EV",1,234,88,551,"carrier",1367,1431
"21009",0,0,0,1,0,0,0,1,"WN",0,19,53,337,"security",534,644
"40667",0,0,0,1,1,0,0,0,"UA",0,19,87,680,"security",764,968
"90109",0,0,1,0,0,0,1,0,"WN",1,19,95,577,"carrier",1055,1179
"20975",0,0,0,1,0,0,1,0,"WN",1,22,107,879,"weather",1105,1282
"16281",0,0,0,1,0,0,1,0,"WN",1,29,129,1067,"carrier",1041,1324
"60877",1,0,0,0,1,0,0,0,"OO",1,51,59,411,"weather",1280,1416
"82688",0,0,0,1,0,0,0,1,"OO",1,48,27,89,"carrier",1432,57
"39492",0,0,0,1,0,0,0,1,"UA",1,20,354,3365,"weather",1284,405
"96139",0,0,1,0,0,0,1,0,"AA",1,95,70,468,"carrier",978,1084
"96748",0,0,1,0,0,0,1,0,"AA",0,27,150,912,"security",1100,1240
"71652",0,0,1,0,0,0,1,0,"AA",1,17,55,331,"carrier",1023,1110
"62199",0,0,1,0,0,1,0,0,"UA",1,21,136,1065,"weather",784,948
"38609",0,0,0,1,0,0,1,0,"UA",1,16,160,1222,"nas",753,1050
"7416",1,0,0,0,0,0,1,0,"DL",1,172,131,1039,"carrier",776,938
"19372",0,0,1,0,0,0,1,0,"WN",1,28,44,239,"weather",993,1053
"16295",0,0,0,1,0,0,1,0,"WN",1,21,149,1294,"weather",601,886
"89371",0,1,0,0,0,0,0,1,"VX",0,16,384,2611,"nas",1065,1296
"87938",0,0,1,0,0,0,0,1,"UA",0,34,197,1379,"security",889,1019
"88708",0,1,0,0,0,0,1,0,"UA",1,27,207,1325,"carrier",735,907
"46304",0,0,0,1,0,0,0,1,"WN",1,44,68,447,"carrier",750,829
"36231",0,0,0,1,0,0,0,1,"OO",1,35,32,77,"weather",640,695
"89770",0,0,0,1,0,0,0,1,"WN",1,92,48,326,"weather",1220,1287
"97297",0,0,1,0,0,0,0,1,"AA",0,59,399,2585,"security",1228,44
"3416",0,0,0,1,0,0,0,1,"AS",1,101,145,956,"carrier",1179,1356
"35339",1,0,0,0,1,0,0,0,"OO",1,30,70,448,"carrier",1238,1335
"39627",0,0,1,0,0,0,1,0,"UA",1,38,140,966,"carrier",1178,1276
"61628",0,0,1,0,0,1,0,0,"UA",1,119,146,997,"security",884,1070
"77466",0,0,1,0,0,0,1,0,"DL",0,15,96,594,"security",831,967
"86378",0,0,1,0,0,0,0,1,"UA",1,974,376,2585,"weather",580,809
"95371",0,0,0,1,0,0,0,1,"WN",0,16,71,370,"security",424,461
"68091",1,0,0,0,0,0,0,1,"WN",0,15,283,1855,"security",515,695
"65434",1,0,0,0,0,0,0,1,"WN",0,22,139,896,"security",331,452
"36120",0,0,1,0,0,0,0,1,"OO",1,52,217,1504,"security",914,1028
"74635",0,0,1,0,0,0,1,0,"B6",1,24,167,1237,"carrier",1184,1306
"93277",0,0,0,1,0,0,0,1,"WN",0,15,107,696,"security",1082,1220
"50933",0,0,0,1,0,0,0,1,"AS",1,30,93,689,"carrier",908,1080
"78715",1,0,0,0,1,0,0,0,"EV",0,20,28,122,"security",957,1081
"43009",0,1,0,0,0,0,1,0,"WN",0,26,158,971,"security",468,666
"63342",0,0,1,0,0,0,0,1,"VX",1,113,346,2342,"carrier",1227,1413
"80335",0,0,1,0,1,0,0,0,"NK",0,20,152,927,"security",952,1121
"54530",0,0,0,1,1,0,0,0,"DL",1,15,208,1749,"weather",471,882
"45353",0,0,1,0,0,0,0,1,"WN",1,15,271,1892,"weather",636,750
"25205",0,1,0,0,0,1,0,0,"B6",1,25,47,187,"weather",1317,1382
"216",0,0,1,0,0,0,1,0,"AA",0,16,164,918,"security",363,490
"84607",0,0,0,1,0,0,0,1,"OO",0,50,125,862,"security",588,837
"67287",1,0,0,0,1,0,0,0,"WN",1,66,60,393,"carrier",1120,1201
"55299",0,1,0,0,0,0,1,0,"DL",1,135,165,944,"security",699,977
"78107",1,0,0,0,0,1,0,0,"EV",1,16,127,1134,"security",743,959
"25904",0,0,1,0,0,0,1,0,"DL",0,21,62,425,"security",627,790
"70101",0,0,0,1,1,0,0,0,"AA",1,25,219,1744,"weather",9,388
"12316",0,0,0,1,0,0,0,1,"OO",1,25,42,209,"carrier",1025,1108
"88535",0,0,0,1,0,0,0,1,"UA",0,29,439,3365,"security",737,1031
"73800",0,0,0,1,0,1,0,0,"B6",1,219,281,2475,"security",948,2
"90991",0,0,0,1,0,0,0,1,"WN",1,26,65,371,"weather",848,931
"92007",0,1,0,0,1,0,0,0,"WN",0,41,133,738,"security",920,1046
"56404",0,0,0,1,0,1,0,0,"DL",1,92,243,2248,"carrier",1079,87
"84287",0,0,0,1,0,0,1,0,"OO",1,234,135,701,"carrier",896,1174
"62046",0,1,0,0,0,0,1,0,"UA",1,25,138,997,"weather",1159,1342
"76013",0,0,0,1,0,1,0,0,"DL",0,45,175,1620,"security",658,1033
"79398",0,0,0,1,0,0,0,1,"F9",1,60,132,991,"carrier",1061,1154
"6893",0,1,0,0,0,0,0,1,"DL",1,36,361,2475,"weather",1051,1266
"10294",0,0,1,0,0,0,1,0,"EV",1,176,46,250,"carrier",734,866
"68215",0,0,1,0,0,0,0,1,"WN",1,73,102,580,"carrier",1287,1343
"43468",0,0,0,1,0,0,0,1,"WN",1,27,56,338,"carrier",1263,1272
"15975",0,0,0,1,1,0,0,0,"UA",1,60,129,1015,"carrier",1136,1401
"58715",0,0,1,0,0,1,0,0,"DL",1,53,96,762,"security",1071,1203
"91724",0,0,1,0,0,0,1,0,"WN",0,20,121,787,"security",1041,1200
"70209",0,0,0,1,0,0,0,1,"AA",1,40,346,2486,"weather",558,803
"27707",0,0,1,0,0,0,1,0,"DL",1,19,40,214,"weather",1088,1153
"8072",1,0,0,0,0,0,1,0,"EV",0,20,108,630,"security",339,503
"40636",0,1,0,0,0,0,0,1,"UA",1,44,231,1605,"carrier",1067,1207
"22726",0,0,1,0,0,0,1,0,"AA",0,33,74,468,"security",1093,1221
"53373",1,0,0,0,0,1,0,0,"B6",1,24,99,740,"weather",1114,1297
"346",0,0,1,0,1,0,0,0,"AA",0,38,216,1182,"security",584,765
"70650",0,0,1,0,0,0,1,0,"AA",1,56,45,247,"weather",351,435
"52470",0,0,0,1,0,1,0,0,"B6",1,207,265,2381,"carrier",176,638
"59910",0,1,0,0,1,0,0,0,"EV",1,41,62,419,"weather",457,559
"32885",0,1,0,0,0,0,0,1,"NK",0,24,377,2381,"security",1065,1283
"32003",0,0,0,1,0,0,0,1,"HA",1,24,31,216,"carrier",1026,1073
"21715",1,0,0,0,0,1,0,0,"AA",0,46,119,678,"security",713,940
"24241",0,0,1,0,1,0,0,0,"AA",1,82,86,583,"weather",1211,1324
"38736",0,0,0,1,0,0,0,1,"UA",1,47,63,451,"weather",1344,1428
"59054",0,0,1,0,0,0,1,0,"EV",1,50,43,285,"weather",1039,1104
"77582",1,0,0,0,0,1,0,0,"DL",1,113,115,980,"weather",1343,95
"82946",0,0,0,1,0,0,0,1,"OO",1,54,133,599,"weather",390,506
"80051",0,0,0,1,0,0,0,1,"HA",1,87,363,2762,"weather",999,67
"79019",0,0,1,0,0,0,0,1,"F9",1,21,263,1984,"weather",451,576
"31097",0,0,0,1,0,1,0,0,"F9",1,171,164,1558,"carrier",1162,53
"49739",0,0,1,0,0,0,0,1,"AA",1,81,179,1205,"carrier",1108,1182
"10096",0,0,1,0,0,0,1,0,"EV",1,34,32,145,"weather",638,691
"21114",0,0,0,1,0,0,0,1,"WN",0,18,68,414,"security",1218,1323
"12499",1,0,0,0,0,0,1,0,"OO",0,21,78,566,"carrier",1316,48
"70614",0,0,0,1,1,0,0,0,"AA",0,33,217,1721,"security",476,873
"70596",0,0,1,0,0,1,0,0,"AA",1,42,190,1562,"weather",589,863
"18722",0,0,0,1,1,0,0,0,"WN",1,27,177,1363,"carrier",592,907
"12391",0,0,0,1,0,0,0,1,"OO",0,26,55,391,"security",543,658
"61947",0,0,0,1,0,1,0,0,"UA",1,29,288,2454,"carrier",659,1158
"55119",0,1,0,0,1,0,0,0,"DL",1,297,141,980,"carrier",1340,8
"54945",0,0,1,0,0,0,1,0,"DL",1,97,74,515,"carrier",978,1101
"75457",0,0,1,0,0,0,1,0,"DL",0,16,75,547,"carrier",838,938
"95856",0,0,1,0,0,0,1,0,"AA",0,57,126,632,"security",456,632
"63585",0,0,1,0,0,0,0,1,"VX",0,28,344,2342,"nas",427,618
"12040",0,0,1,0,0,0,0,1,"OO",1,106,219,1436,"carrier",1069,1201
"96329",0,0,0,1,0,0,1,0,"AA",1,20,130,1171,"carrier",816,1085
"28795",1,0,0,0,1,0,0,0,"EV",0,29,41,272,"security",1174,1266
"45291",1,0,0,0,0,0,0,1,"WN",0,20,135,770,"security",961,1055
"37294",1,0,0,0,0,0,1,0,"OO",1,77,127,925,"weather",703,855
"79830",0,0,0,1,0,0,1,0,"F9",1,20,230,2039,"weather",29,460
"80704",0,0,0,1,0,0,1,0,"NK",1,38,142,1222,"security",777,1064
"53595",1,0,0,0,1,0,0,0,"DL",1,151,32,196,"weather",1342,1408
"47644",0,0,0,1,0,0,0,1,"WN",1,35,106,621,"carrier",1226,1285
"5754",0,0,1,0,0,1,0,0,"B6",1,61,138,1023,"carrier",1208,1380
"35926",0,0,0,1,0,0,0,1,"OO",1,49,31,188,"carrier",1062,1133
"85334",0,0,0,1,0,0,0,1,"OO",1,184,59,329,"carrier",831,918
"17179",0,0,0,1,0,0,0,1,"WN",0,20,149,909,"security",1173,1280
"32037",0,0,0,1,0,0,0,1,"HA",1,31,25,102,"weather",1112,1156
"75289",0,0,1,0,0,1,0,0,"DL",1,34,119,944,"security",900,1062
"17516",0,0,1,0,1,0,0,0,"WN",0,18,162,990,"security",651,778
"49907",0,0,1,0,1,0,0,0,"AA",1,71,170,1068,"security",1230,1385
"37464",1,0,0,0,0,1,0,0,"OO",1,110,50,301,"carrier",1438,76
"22555",1,0,0,0,0,1,0,0,"AA",0,25,111,719,"security",1115,1323
"62616",0,0,1,0,0,0,0,1,"VX",0,32,180,1246,"security",1059,1157
"88827",1,0,0,0,0,0,1,0,"UA",1,32,136,1005,"carrier",1179,1412
"83880",1,0,0,0,0,0,1,0,"OO",0,15,150,852,"security",429,617
"15410",0,0,0,1,0,0,0,1,"UA",1,109,64,372,"carrier",1220,1339
"55594",0,1,0,0,0,0,1,0,"DL",1,26,97,692,"weather",450,565
"28764",0,1,0,0,0,0,1,0,"EV",1,36,75,445,"weather",1062,1165
"65528",0,0,0,1,0,0,0,1,"WN",1,35,74,588,"weather",1098,1250
"30955",0,0,0,1,0,0,0,1,"F9",0,33,141,846,"security",1044,1152
"2199",0,0,1,0,0,0,1,0,"AA",1,28,35,190,"carrier",684,734
"18041",0,0,1,0,0,0,1,0,"WN",1,17,44,302,"carrier",671,727
"36889",1,0,0,0,0,0,1,0,"OO",1,200,85,596,"carrier",1072,1197
"24601",0,1,0,0,0,0,1,0,"B6",1,64,159,997,"carrier",1254,3
"51842",0,0,0,1,0,0,0,1,"B6",1,31,56,407,"nas",1104,1189
"73701",0,1,0,0,0,0,0,1,"B6",0,23,389,2611,"security",433,673
