"","origin_regionMidwest","origin_regionNortheast","origin_regionSouth","origin_regionWest","dest_regionMidwest","dest_regionNortheast","dest_regionSouth","dest_regionWest","UNIQUE_CARRIER","DEP_DEL15","ARR_DELAY_NEW","AIR_TIME","DISTANCE","max_delay","dept_time","arr_time"
"41784",0,0,0,1,0,1,0,0,"WN",1,104,189,1605,"weather",445,834
"12931",1,0,0,0,0,0,1,0,"OO",1,45,80,566,"weather",954,1114
"44837",1,0,0,0,0,0,1,0,"WN",1,21,63,484,"weather",1115,1251
"91892",0,0,0,1,0,0,0,1,"WN",1,50,115,763,"carrier",773,905
"74254",0,1,0,0,0,0,1,0,"B6",1,23,71,413,"weather",824,917
"90911",1,0,0,0,1,0,0,0,"WN",1,28,50,297,"carrier",996,1058
"45867",0,0,1,0,0,0,1,0,"WN",1,66,58,404,"carrier",1105,1191
"58818",0,0,1,0,1,0,0,0,"EV",1,18,77,561,"weather",931,1022
"47260",0,0,1,0,0,0,1,0,"WN",1,88,87,581,"weather",1078,1188
"10603",0,0,1,0,0,1,0,0,"EV",1,29,144,1147,"security",1077,1309
"24140",0,1,0,0,0,0,1,0,"AA",1,118,150,1089,"weather",938,1148
"48577",0,0,1,0,0,1,0,0,"WN",1,28,153,1166,"carrier",832,1008
"36333",0,0,0,1,0,0,0,1,"OO",1,38,79,462,"carrier",966,1065
"91077",0,0,0,1,0,0,0,1,"WN",1,80,80,602,"weather",1046,1140
"51057",0,0,0,1,0,0,0,1,"AS",1,73,124,954,"weather",527,681
"30902",0,0,1,0,0,0,0,1,"F9",1,62,164,1162,"carrier",1013,1079
"27085",0,0,1,0,0,1,0,0,"DL",1,35,147,1096,"carrier",973,1157
"76735",0,0,1,0,0,0,1,0,"DL",1,30,44,250,"carrier",928,1055
"68445",0,0,0,1,0,0,0,1,"WN",1,18,113,933,"carrier",1140,1263
"16080",0,0,1,0,0,0,0,1,"WN",1,23,171,1246,"carrier",1325,1403
"6281",0,0,1,0,0,1,0,0,"B6",1,38,118,942,"carrier",726,919
"73533",0,0,0,1,0,0,0,1,"AS",1,19,114,954,"weather",1270,1415
"60448",1,0,0,0,0,0,1,0,"EV",1,143,59,416,"weather",581,664
"16522",0,0,0,1,0,0,0,1,"WN",1,42,56,337,"weather",964,1047
"6062",0,0,1,0,1,0,0,0,"B6",1,66,154,1127,"carrier",1325,52
"10623",0,0,1,0,0,1,0,0,"EV",1,35,67,474,"carrier",1093,1188
"37190",1,0,0,0,0,0,1,0,"OO",1,114,92,612,"security",1122,1315
"16496",0,0,0,1,0,0,0,1,"WN",1,51,100,889,"carrier",1143,1326
"29097",0,1,0,0,0,1,0,0,"EV",1,76,44,246,"carrier",860,921
"18726",0,0,0,1,1,0,0,0,"WN",1,151,214,1750,"nas",1131,46
"25055",0,0,1,0,0,1,0,0,"B6",1,146,153,1166,"weather",1051,1223
"17656",0,0,0,1,0,0,0,1,"WN",1,33,83,543,"carrier",1062,1158
"46501",0,0,1,0,0,0,1,0,"WN",1,31,32,189,"carrier",1250,1296
"75086",0,0,1,0,0,1,0,0,"B6",1,117,130,1076,"carrier",1181,1376
"2707",0,0,1,0,0,1,0,0,"AA",0,24,143,992,"security",991,1173
"51370",0,0,1,0,0,1,0,0,"B6",1,25,131,1182,"weather",617,828
"85759",1,0,0,0,0,0,1,0,"OO",0,18,142,925,"security",434,624
"36343",0,0,0,1,0,0,0,1,"OO",1,27,132,954,"carrier",952,1108
"4672",0,0,0,1,0,0,0,1,"AS",1,54,65,399,"security",690,798
"13505",1,0,0,0,1,0,0,0,"OO",1,80,51,224,"security",1127,1189
"31318",0,0,1,0,0,0,0,1,"F9",0,77,350,2218,"security",1267,61
"15083",1,0,0,0,0,0,0,1,"UA",0,45,261,1744,"security",1084,1277
"12881",0,0,1,0,0,0,0,1,"OO",0,49,180,1235,"security",444,611
"21558",0,0,0,1,0,0,1,0,"AA",1,33,112,868,"weather",1084,1296
"22052",0,0,1,0,0,0,0,1,"AA",1,25,128,868,"carrier",1395,41
"12802",0,0,0,1,0,0,0,1,"OO",1,45,30,156,"weather",931,978
"95612",1,0,0,0,0,0,1,0,"WN",1,21,77,604,"carrier",862,951
"31854",0,0,0,1,0,0,0,1,"F9",0,20,103,628,"security",1334,1414
"49379",0,0,1,0,0,0,1,0,"AA",1,45,219,1475,"carrier",856,1047
"66376",0,0,1,0,0,0,1,0,"WN",1,21,83,581,"carrier",1238,1336
"9660",0,0,1,0,1,0,0,0,"EV",1,218,93,554,"weather",708,879
"11582",0,0,0,1,0,0,0,1,"OO",1,92,64,326,"carrier",1291,1384
"4913",0,0,0,1,1,0,0,0,"AS",1,33,193,1739,"security",690,1037
"90510",0,0,1,0,0,0,1,0,"WN",1,40,67,419,"weather",479,560
"65619",0,0,0,1,0,0,0,1,"WN",1,43,65,370,"security",1068,1108
"9239",1,0,0,0,1,0,0,0,"EV",1,131,22,67,"carrier",777,819
"47978",1,0,0,0,0,0,1,0,"WN",1,207,134,930,"security",967,1122
"44954",0,0,1,0,0,1,0,0,"WN",0,17,219,1698,"security",1126,1427
"36545",0,0,0,1,0,0,0,1,"OO",1,54,60,391,"carrier",835,914
"96528",0,0,0,1,0,0,0,1,"AA",1,127,102,621,"weather",992,1057
"17176",0,0,0,1,0,0,0,1,"WN",1,71,68,391,"carrier",941,1026
"79223",0,0,1,0,0,1,0,0,"F9",1,101,125,896,"carrier",1341,44
"6667",0,1,0,0,0,0,1,0,"DL",1,156,147,1005,"weather",666,841
"39000",0,0,1,0,0,0,0,1,"UA",0,42,361,2306,"security",1058,1260
"13746",1,0,0,0,1,0,0,0,"OO",1,53,25,137,"weather",677,781
"18827",1,0,0,0,0,0,1,0,"WN",1,23,91,632,"weather",823,988
"81937",0,0,0,1,0,0,0,1,"OO",0,19,53,391,"carrier",589,693
"70110",0,0,1,0,0,0,0,1,"AA",0,29,515,3724,"security",625,927
"26023",0,0,1,0,0,0,0,1,"DL",1,49,245,1678,"carrier",1024,1103
"48206",0,0,1,0,0,0,0,1,"WN",0,23,199,1235,"security",893,993
"8094",0,0,1,0,0,0,1,0,"EV",1,151,82,482,"carrier",686,795
"34462",0,0,0,1,0,0,0,1,"OO",1,243,69,326,"security",7,95
"94383",0,0,0,1,0,0,0,1,"WN",1,348,68,447,"carrier",66,148
"60835",0,0,0,1,0,0,0,1,"OO",1,72,72,546,"weather",1092,1247
"64720",0,0,1,0,0,0,0,1,"WN",0,48,348,2329,"security",508,718
"30430",0,1,0,0,0,0,1,0,"EV",1,21,96,617,"carrier",1244,1373
"39505",0,0,0,1,0,1,0,0,"UA",1,60,276,2565,"security",555,1105
"96995",0,0,1,0,0,0,1,0,"AA",0,57,193,1119,"security",898,1101
"83264",0,0,0,1,0,0,0,1,"OO",1,159,69,363,"carrier",1172,1281
"92851",0,0,1,0,0,0,1,0,"WN",0,29,125,925,"security",572,759
"79097",0,0,1,0,0,1,0,0,"F9",1,17,109,834,"weather",584,709
"76163",0,0,0,1,0,0,1,0,"DL",1,31,165,1587,"carrier",891,1220
"26084",1,0,0,0,0,0,0,1,"DL",0,32,170,991,"security",870,1017
"74211",0,0,0,1,0,0,0,1,"B6",1,257,58,353,"weather",15,93
"96037",0,0,1,0,0,0,0,1,"AA",1,47,281,1979,"carrier",1073,1260
"28588",1,0,0,0,0,0,1,0,"EV",1,54,132,844,"carrier",1187,1294
"38884",0,0,0,1,1,0,0,0,"UA",1,21,193,1744,"carrier",885,1230
"79074",0,0,0,1,0,0,0,1,"F9",1,62,87,628,"weather",891,935
"7512",0,0,1,0,0,0,1,0,"DL",1,53,74,594,"weather",1425,69
"35411",0,0,0,1,0,0,0,1,"OO",1,97,35,86,"security",799,854
"43093",0,0,0,1,0,0,1,0,"WN",1,52,212,1984,"carrier",1000,1407
"15259",0,1,0,0,1,0,0,0,"UA",1,34,65,404,"weather",895,987
"56685",0,0,1,0,0,0,0,1,"DL",1,58,257,1747,"security",720,823
"94455",0,0,0,1,0,0,0,1,"WN",1,108,79,373,"nas",1115,1213
"96337",0,0,0,1,0,0,1,0,"AA",1,40,124,1171,"carrier",836,1106
"17180",0,0,0,1,0,0,0,1,"WN",1,170,148,909,"carrier",896,1005
"52781",0,0,1,0,0,1,0,0,"B6",1,32,67,399,"weather",1063,1158
"37415",0,0,0,1,0,0,0,1,"OO",1,95,37,188,"carrier",860,931
"65828",0,0,0,1,0,0,0,1,"WN",1,215,81,569,"carrier",1053,1165
"26217",0,0,0,1,0,0,1,0,"DL",1,21,196,1747,"weather",709,1126
"45683",0,0,0,1,1,0,0,0,"WN",1,19,187,1771,"weather",1007,1394
"16726",0,0,0,1,0,0,0,1,"WN",1,56,50,333,"carrier",987,1051
"35941",0,0,0,1,0,0,0,1,"OO",1,143,54,337,"carrier",739,837
"70619",0,0,1,0,0,0,1,0,"AA",0,29,137,1121,"security",363,615
"47327",0,0,1,0,0,1,0,0,"WN",1,47,44,289,"weather",1349,1407
"6212",0,0,1,0,0,1,0,0,"B6",1,113,150,1005,"carrier",1240,1409
"76374",1,0,0,0,0,0,1,0,"DL",0,35,67,447,"security",351,478
"40722",0,0,0,1,0,0,0,1,"UA",0,67,148,909,"security",711,868
"95498",0,0,0,1,0,0,0,1,"WN",1,69,61,337,"security",657,774
"27538",0,1,0,0,0,0,1,0,"DL",1,59,112,712,"carrier",1033,1160
"82536",0,0,0,1,0,0,0,1,"OO",0,20,75,369,"security",1270,1328
"8006",0,0,1,0,0,0,1,0,"EV",1,57,42,227,"carrier",920,991
"86289",0,0,0,1,0,0,0,1,"UA",1,43,263,2398,"weather",1380,344
"45938",1,0,0,0,1,0,0,0,"WN",1,25,74,405,"carrier",1191,1285
"10620",0,0,1,0,0,1,0,0,"EV",1,50,84,474,"security",1084,1203
"32441",1,0,0,0,0,1,0,0,"NK",1,36,84,453,"security",954,1057
"81512",0,1,0,0,0,0,1,0,"NK",0,40,171,1065,"security",747,967
"26948",1,0,0,0,0,0,0,1,"DL",0,16,194,1299,"security",686,800
"57140",1,0,0,0,0,0,1,0,"DL",1,118,248,1416,"weather",1183,66
"81443",0,0,0,1,0,0,0,1,"NK",1,16,50,337,"weather",580,661
"6926",1,0,0,0,0,1,0,0,"DL",0,17,73,502,"weather",944,1064
"68403",0,1,0,0,0,0,1,0,"WN",1,149,182,1142,"weather",545,744
"68018",1,0,0,0,0,0,1,0,"WN",1,99,61,395,"nas",1089,1169
"45158",0,0,0,1,0,0,1,0,"WN",0,22,155,1313,"security",833,1137
"42527",0,0,0,1,0,0,0,1,"WN",1,15,92,672,"weather",1009,1125
"54716",1,0,0,0,0,0,0,1,"DL",0,26,232,1481,"security",1156,1300
"90367",0,0,0,1,0,0,0,1,"WN",0,27,101,602,"security",404,547
"22431",0,0,1,0,0,1,0,0,"AA",1,44,144,1085,"carrier",898,1061
"21589",0,1,0,0,0,0,0,1,"AA",0,24,350,2402,"security",1086,1318
"40898",0,0,0,1,0,0,1,0,"WN",1,33,261,2329,"weather",666,1123
"32460",0,1,0,0,0,0,1,0,"NK",1,68,72,369,"carrier",1288,1385
"84165",0,0,0,1,1,0,0,0,"OO",0,18,150,1254,"security",427,749
"17245",0,0,1,0,0,0,1,0,"WN",0,40,58,197,"security",1004,1105
"48010",0,0,1,0,0,0,0,1,"WN",0,29,211,1246,"security",573,684
"41820",0,0,0,1,0,0,0,1,"WN",0,19,140,853,"security",477,584
"54914",0,0,1,0,0,0,1,0,"DL",1,98,52,341,"nas",927,940
"63856",0,0,1,0,0,0,0,1,"VX",0,34,232,1504,"nas",417,569
"95229",1,0,0,0,0,1,0,0,"WN",1,96,105,668,"nas",1220,1401
"22593",0,0,1,0,0,0,1,0,"AA",1,69,38,247,"nas",555,629
"23435",0,0,1,0,0,0,0,1,"AA",1,24,171,1126,"weather",1040,1115
"77543",0,0,1,0,1,0,0,0,"DL",0,16,165,1086,"security",838,1036
"80932",0,0,0,1,1,0,0,0,"NK",1,85,164,1276,"security",989,1235
"11046",0,0,0,1,0,0,0,1,"OO",1,97,141,850,"security",729,873
"93740",0,0,0,1,0,1,0,0,"WN",1,21,262,2133,"weather",633,1041
"14336",1,0,0,0,0,0,1,0,"UA",0,17,77,588,"nas",1083,1255
"13977",1,0,0,0,1,0,0,0,"OO",1,102,38,224,"weather",1012,1160
"90032",0,0,1,0,0,0,1,0,"WN",0,21,103,623,"security",1121,1256
"49338",0,0,1,0,0,0,1,0,"AA",1,22,115,814,"carrier",734,879
"15068",0,1,0,0,1,0,0,0,"UA",1,40,122,719,"carrier",1143,1228
"33892",0,0,0,1,0,0,1,0,"NK",1,89,151,868,"security",164,401
"64203",0,0,0,1,0,0,0,1,"WN",0,16,81,519,"security",1085,1136
"30337",1,0,0,0,0,0,1,0,"EV",1,75,79,563,"carrier",946,1103
"34209",1,0,0,0,0,0,1,0,"OO",1,55,166,1214,"carrier",1298,1427
"14386",1,0,0,0,0,0,0,1,"UA",1,16,149,1123,"nas",1022,1103
"64109",0,0,0,1,0,0,0,1,"VX",1,121,55,414,"carrier",1326,1401
"18007",0,0,1,0,1,0,0,0,"WN",1,51,147,1057,"carrier",791,906
"92859",0,0,1,0,0,0,1,0,"WN",0,22,62,159,"security",671,747
"87358",0,0,0,1,0,1,0,0,"UA",1,21,275,2454,"carrier",900,1374
"91818",1,0,0,0,1,0,0,0,"WN",1,80,51,392,"carrier",1135,1215
"70411",1,0,0,0,0,0,0,1,"AA",1,96,205,1514,"carrier",855,963
"36034",0,0,0,1,0,0,0,1,"OO",0,39,56,329,"security",643,773
"75987",0,0,0,1,1,0,0,0,"DL",1,17,129,991,"weather",1063,1275
"1085",0,0,1,0,0,1,0,0,"AA",0,24,175,1303,"security",629,890
"91483",1,0,0,0,1,0,0,0,"WN",0,16,50,237,"security",600,681
"96681",0,0,1,0,0,0,0,1,"AA",0,40,363,2296,"security",447,652
"34772",0,1,0,0,1,0,0,0,"OO",1,105,112,726,"carrier",1184,1260
"72736",0,0,0,1,0,0,0,1,"AS",1,87,44,95,"carrier",701,770
"77139",0,0,1,0,0,1,0,0,"DL",1,249,93,760,"carrier",102,212
"68670",0,0,0,1,0,0,1,0,"WN",1,36,90,651,"carrier",1131,1301
"46291",0,0,0,1,0,0,0,1,"WN",1,25,83,605,"carrier",1258,1360
"48122",0,0,0,1,0,0,1,0,"WN",1,76,168,1506,"nas",730,1041
"29968",0,1,0,0,1,0,0,0,"EV",1,39,77,479,"weather",585,701
"67612",0,0,1,0,0,0,1,0,"WN",0,15,85,587,"weather",963,1065
"80042",0,0,0,1,0,0,0,1,"HA",0,32,410,2762,"weather",93,402
"42289",1,0,0,0,0,0,0,1,"WN",1,28,163,1044,"carrier",1141,1263
"50073",0,0,0,1,1,0,0,0,"AA",1,42,199,1671,"carrier",1245,149
"64496",0,0,1,0,0,0,1,0,"WN",1,31,80,587,"carrier",1069,1166
"13927",0,0,0,1,0,0,0,1,"OO",0,24,58,363,"security",511,622
"33511",0,0,0,1,0,0,1,0,"NK",1,31,144,1235,"security",669,971
"39471",0,0,0,1,0,1,0,0,"UA",1,39,178,1605,"carrier",1111,11
"8299",0,0,1,0,0,0,1,0,"EV",1,60,61,396,"carrier",805,893
"90714",0,0,0,1,1,0,0,0,"WN",1,17,147,1363,"weather",800,1087
"81551",0,1,0,0,0,0,1,0,"NK",1,85,143,1065,"security",1367,87
"85543",0,0,0,1,1,0,0,0,"OO",0,16,179,1254,"security",412,750
"91016",0,0,0,1,0,0,0,1,"WN",1,46,42,197,"carrier",800,856
"7049",0,0,1,0,0,0,1,0,"DL",1,44,74,481,"weather",1249,1345
"36841",0,0,0,1,0,0,0,1,"OO",1,37,109,574,"weather",716,796
"52316",0,0,1,0,0,0,1,0,"B6",0,34,106,759,"security",579,765
"10218",0,1,0,0,0,1,0,0,"EV",1,83,53,335,"weather",1235,1335
"77976",1,0,0,0,0,1,0,0,"EV",1,121,86,645,"carrier",1139,1276
"71940",0,0,1,0,0,0,1,0,"AA",0,24,72,468,"security",574,689
"5073",0,0,0,1,0,0,0,1,"B6",1,128,51,231,"carrier",644,711
"46897",0,0,0,1,0,0,0,1,"WN",1,18,43,328,"weather",857,913
"89530",0,0,0,1,0,0,0,1,"WN",0,23,57,337,"security",991,1093
"4040",0,0,0,1,0,0,0,1,"AS",0,15,187,1448,"security",626,914
"28594",0,0,1,0,0,0,1,0,"EV",0,19,113,489,"security",552,686
"48712",0,1,0,0,0,0,1,0,"WN",1,18,157,1166,"carrier",1066,1248
"59302",0,1,0,0,1,0,0,0,"EV",1,49,98,518,"carrier",1243,1373
"25700",0,0,1,0,0,0,1,0,"DL",1,53,68,534,"weather",1240,1335
"41149",0,0,1,0,0,0,1,0,"WN",0,21,40,248,"security",1149,1231
"35650",1,0,0,0,1,0,0,0,"OO",1,81,30,179,"weather",1220,1340
"91661",0,0,1,0,0,0,1,0,"WN",0,29,137,822,"security",478,659
"12033",0,0,0,1,0,0,0,1,"OO",0,29,69,372,"security",808,933
"6811",0,0,1,0,0,0,0,1,"DL",1,24,277,1823,"nas",464,645
"93779",0,0,0,1,1,0,0,0,"WN",1,30,169,1524,"carrier",1160,25
"43034",0,0,0,1,0,0,1,0,"WN",1,30,66,583,"carrier",1188,1330
"36008",1,0,0,0,1,0,0,0,"OO",0,15,48,222,"security",1191,1224
"16556",0,0,0,1,0,0,0,1,"WN",1,45,38,197,"carrier",1193,1250
"5270",0,0,1,0,0,1,0,0,"B6",1,28,153,1035,"weather",1145,1318
"63970",0,0,0,1,0,0,0,1,"VX",1,119,115,679,"security",1286,1423
"56223",0,0,1,0,0,1,0,0,"DL",1,69,99,746,"security",1172,1300
"95988",0,0,1,0,0,0,0,1,"AA",1,105,231,1788,"weather",1173,1314
"58714",0,1,0,0,0,0,1,0,"DL",1,32,116,762,"carrier",1067,1225
"6316",0,0,0,1,0,0,0,1,"B6",1,25,120,846,"carrier",1163,1300
"15764",0,0,0,1,0,0,1,0,"UA",1,36,160,1452,"carrier",1096,1400
"46227",0,0,0,1,0,0,0,1,"WN",1,45,58,345,"weather",452,545
"188",0,0,1,0,0,0,1,0,"AA",1,248,104,675,"carrier",43,105
"42926",0,0,1,0,0,0,0,1,"WN",1,61,64,347,"carrier",1081,1156
"25372",0,0,0,1,0,0,0,1,"DL",1,68,139,867,"carrier",738,927
"91246",0,0,0,1,0,0,0,1,"WN",1,134,77,447,"carrier",1201,1319
"69603",0,0,1,0,0,1,0,0,"AA",1,108,37,213,"weather",1172,1248
"15858",0,0,1,0,0,0,0,1,"UA",1,43,122,862,"security",1020,1108
"46301",0,0,0,1,0,0,0,1,"WN",1,83,91,651,"carrier",1025,1193
"97687",0,0,1,0,1,0,0,0,"AA",1,30,155,1145,"carrier",1257,1433
"44813",0,0,0,1,0,0,0,1,"WN",1,39,59,390,"carrier",1116,1189
"92868",1,0,0,0,0,0,0,1,"WN",1,19,234,1771,"carrier",991,1059
"69279",0,0,1,0,1,0,0,0,"AA",1,38,123,986,"weather",709,924
"38614",0,0,1,0,0,1,0,0,"UA",1,70,172,1400,"security",941,1228
"11446",0,0,0,1,0,0,0,1,"OO",1,40,72,412,"weather",739,843
"23346",0,0,1,0,0,0,1,0,"AA",1,70,87,594,"carrier",1212,1320
"83965",0,0,0,1,1,0,0,0,"OO",1,31,184,1589,"carrier",1026,1359
"42387",1,0,0,0,0,0,0,1,"WN",0,22,287,1844,"security",1026,1212
"48404",0,0,0,1,0,0,0,1,"WN",0,18,60,345,"weather",940,1018
"67270",1,0,0,0,0,0,1,0,"WN",0,44,143,1066,"security",335,609
"73917",0,0,0,1,0,1,0,0,"B6",1,19,269,2465,"carrier",1337,365
"15108",0,0,0,1,0,0,0,1,"UA",1,22,81,550,"security",767,872
"82582",0,0,0,1,0,0,0,1,"OO",1,80,70,399,"carrier",1235,1292
"92046",1,0,0,0,0,0,1,0,"WN",1,34,119,793,"weather",1148,1289
"57204",0,1,0,0,0,0,0,1,"DL",0,26,280,1990,"security",976,1211
"48826",0,0,0,1,0,0,0,1,"WN",1,19,46,308,"weather",1280,1339
"97514",0,1,0,0,0,0,1,0,"AA",0,106,158,1096,"security",926,1252
"179",1,0,0,0,0,1,0,0,"AA",0,20,126,733,"security",1132,1343
"85311",0,0,0,1,0,0,0,1,"OO",0,19,22,86,"security",457,521
"13037",0,0,0,1,0,0,0,1,"OO",1,39,52,337,"security",664,784
"2211",0,0,1,0,0,1,0,0,"AA",0,37,165,1013,"security",1207,1405
"91292",0,0,1,0,0,0,0,1,"WN",0,46,265,1624,"security",988,1106
"28477",0,0,0,1,0,1,0,0,"DL",1,100,235,2153,"nas",503,895
"15974",0,0,1,0,0,0,0,1,"UA",1,40,156,1014,"security",1006,1118
"38795",0,0,0,1,0,0,0,1,"UA",1,48,312,2556,"carrier",960,1169
"44673",0,1,0,0,0,0,1,0,"WN",0,86,218,1188,"security",791,1071
